Ana Kelime,Yasaklı Kelime 1 (İpucu),Yasaklı Kelime 2,Yasaklı Kelime 3,Yasaklı Kelime 4,Yasaklı Kelime 5,Alt Kategori (Set),Nadirlik (Rarity)
Borussia Mönchengladbach,Taylar,Yeşil Siyah,Almanya,Uzun İsim,Foals,Yeşil Saha Efsaneleri,Rare
Wolfsburg,Yeşil Beyaz,Volkswagen,Almanya,Kurtlar,Grafite,Yeşil Saha Efsaneleri,Rare
Hoffenheim,Mavi,Köy,Almanya,Dietmar Hopp,Nagelsmann,Yeşil Saha Efsaneleri,Rare
Bologna,Kırmızı Mavi,İtalya,Thiago Motta,Renato DallAra,Emilia,Yeşil Saha Efsaneleri,Rare
Torino,Bordo,İtalya,Boğa,Juventus,Derbi,Kulüpler & Mabedler,Epic
Boca Juniors,Mavi Sarı,Arjantin,La Bombonera,Maradona,Riquelme,Yeşil Saha Efsaneleri,Legendary
River Plate,Beyaz Kırmızı,Milyonerler,Arjantin,Monumental,Boca,Yeşil Saha Efsaneleri,Rare
Santos,Beyaz Siyah,Pele,Neymar,Brezilya,Efsane,Yeşil Saha Efsaneleri,Legendary
Flamengo,Kırmızı Siyah,Maracana,Brezilya,Zico,Taraftar,Kulüpler & Mabedler,Epic
Sao Paulo,Üç Renkli,Brezilya,Morumbi,Ceni,Kupa,Kupalar & Turnuvalar,Epic
Palmeiras,Yeşil Beyaz,Brezilya,Felipe Melo,Domuz,Allianz,Yeşil Saha Efsaneleri,Rare
Corinthians,Siyah Beyaz,Brezilya,Ronaldo,Halk,Sao Paulo,Yeşil Saha Efsaneleri,Legendary
Vinicius Junior,Brezilya,Hızlı,Real Madrid,Sol Kanat,Çalım,Kulüpler & Mabedler,Epic
Courtois,Belçika,Kaleci,Real Madrid,Uzun Boylu,Ahtapot,Kulüpler & Mabedler,Epic
Ederson,Brezilya,Kaleci,Manchester City,Pas,Dövme,Kulüpler & Mabedler,Epic
Emiliano Martinez,Arjantin,Kaleci,Dünya Kupası,Penaltı,Dans,Kupalar & Turnuvalar,Epic
Bernardo Silva,Portekiz,Manchester City,Yorulmaz,Sol Ayak,Teknik,Kulüpler & Mabedler,Epic
Ruben Dias,Portekiz,Stoper,Manchester City,Lider,Savunma,Kulüpler & Mabedler,Epic
Jamal Musiala,Almanya,Genç,Çalım,Bayern Münih,Bambi,Kulüpler & Mabedler,Epic
Lamine Yamal,İspanya,Genç,Barcelona,Çocuk,Sol Ayak,Kulüpler & Mabedler,Epic
Pedri,İspanya,Barcelona,Orta Saha,Genç,Yorulmak,Kulüpler & Mabedler,Epic
Gavi,İspanya,Barcelona,Agresif,Genç,Kafayla Müdahale,Kulüpler & Mabedler,Epic
Rodri,İspanya,Manchester City,Ön Libero,Şampiyonlar Ligi Golü,Pas,Kulüpler & Mabedler,Epic
Declan Rice,İngiltere,Arsenal,Orta Saha,Pahalı,Defansif,Kulüpler & Mabedler,Epic
Bukayo Saka,İngiltere,Arsenal,Sağ Kanat,Genç,Sol Ayak,Kulüpler & Mabedler,Epic
Martin Odegaard,Norveç,Arsenal,Kaptan,Sol Ayak,Real Madrid,Kulüpler & Mabedler,Epic
Rafael Leao,Portekiz,Milan,Hızlı,Gülümseyerek Koşmak,Sol Kanat,Kulüpler & Mabedler,Epic
Lautaro Martinez,Arjantin,Inter,Boğa,Golcü,Forvet,Kulüpler & Mabedler,Epic
Paulo Dybala,Arjantin,Maske Sevinci,Sol Ayak,Roma,Juventus,Kulüpler & Mabedler,Epic
Oyun Kurucu,10 Numara,Pas,Vizyon,Orta Saha,Maestr,Futbol Terimleri & Taktikler,Common
Çift Forvet,Taktik,İki Kişi,Hücum,4 - 4 - 2,Ortak,Futbol Terimleri & Taktikler,Common
Üçlü Savunma,Stoper,Taktik,3 - 5 - 2,Defans,Kanat Bek,Futbol Terimleri & Taktikler,Common
Alan Markajı,Savunma,Adam Adama Değil,Bölge,Taktik,Kapatmak,Futbol Terimleri & Taktikler,Common
Duran Top,Frikik,Korner,Penaltı,Organizasyon,Gol,Futbol Terimleri & Taktikler,Common
Geçiş Oyunu,Kontra Atak,Hızlı,Savunmadan Hücuma,Taktik,Topu Kapmak,Futbol Terimleri & Taktikler,Common
Kısa Pas,Ayak,Tiki Taka,Yakın,Yerden,Oyun,Futbol Terimleri & Taktikler,Common
Uzun Top,Şişirmek,Defans Arkası,Havadan,Pas,Santrafor,Futbol Terimleri & Taktikler,Common
Diagonal Pas,Çapraz,Uzun,Kanat Değiştirmek,Ters,Oyun,Futbol Terimleri & Taktikler,Common
Verkaç,Duvar Olmak,Paslaşmak,Geri Almak,Çalım,İki Kişi,Futbol Terimleri & Taktikler,Common
Vole,Yere Düşmeden,Gelişine,Vuruş,Şut,Havadan,Futbol Terimleri & Taktikler,Common
Kombine,Bilet,Sezonluk,Kart,Maç,Satın Almak,Yeşil Saha Efsaneleri,Rare
Loca,Zengin,Özel,Cam,Stadyum,Koltuk,Kulüpler & Mabedler,Epic
Kaleci Eldiveni,Tutmak,El,Kurtarmak,Giymek,Yapışkan,Futbol Terimleri & Taktikler,Common
Kaptanlık Bandı,Pazubent,Kol,Takmak,Lider,Pazı,Futbol Terimleri & Taktikler,Common
Kiralık Katil,Oyuncu,Geçici,Transfer,Geri Dönmek,Maaş,Yeşil Saha Efsaneleri,Rare
Sağlık Kontrolü,Hastane,Transfer Öncesi,Kan Vermek,Doktor,İmza,Yeşil Saha Efsaneleri,Rare
İmza Töreni,Stadyum,Sözleşme,Basın,Yeni Oyuncu,Forma Giymek,Kulüpler & Mabedler,Epic
Altınordu,Kırmızı Lacivert,İzmir,Altyapı,Özkaynak,Gençler,Yeşil Saha Efsaneleri,Rare
Bucaspor,Sarı Lacivert,İzmir,Buca,Fırtına,Üzüm,Yeşil Saha Efsaneleri,Rare
Kupa Galipleri Kupası,Avrupa,Eski,Uefa,Kaldırılan,Kazanmak,Kupalar & Turnuvalar,Epic
İntertoto Kupası,Yaz,Eski,Avrupa,Kaldırılan,Kayserispor,Kupalar & Turnuvalar,Epic
Konferans Ligi,Üçüncü,Uefa,Yeni,Kupa,Avrupa,Kupalar & Turnuvalar,Epic
Ters Ayaklı Kanat,İçeri Kat Etmek,Robben,Şut Çekmek,Taktik,Hücum,Futbol Terimleri & Taktikler,Common
Dribbling,Çalım,Sürmek,Top,Geçmek,Hız,Futbol Terimleri & Taktikler,Common
Gelişine Şut,Vole,Beklemeden,Vurmak,Havadan,Gol,Futbol Terimleri & Taktikler,Common
Bilek Hareketi,Çalım,Ronaldinho,Yetenek,Estetik,Kandırmak,Futbol Terimleri & Taktikler,Common
Kontrpiyede Kalmak,Ters Köşe,Kaleci,Yatmak,Denge,Şaşırtmak,Futbol Terimleri & Taktikler,Common
Köşe Gönderi,Bayrak,Korner,Çizgi,Sarı,Vuruş,Futbol Terimleri & Taktikler,Common
Taç Çizgisi,Dışarı,Yan,Hakem,Oyun Alanı,Sınır,Futbol Terimleri & Taktikler,Common
VAR Hakemi,Ekran,İzlemek,Odada,Riva,Karar,Futbol Terimleri & Taktikler,Common
Maç Topu,Meşin Yuvarlak,Adidas,Nike,Patlamak,Oynamak,Futbol Terimleri & Taktikler,Common
Zemin,Çim,Saha,Suni,Toprak,Kötü,Futbol Terimleri & Taktikler,Common
Kural Hatası,Maçın Tekrarı,Hakem,İtiraz,Yanlış Karar,Kurul,Futbol Terimleri & Taktikler,Common
Hakan Çalhanoğlu,Frikik,Inter,Orta Saha,Milli Takım,Kaptan,Kulüpler & Mabedler,Epic
Kenan Yıldız,Genç,Juventus,Milli Takım,Dil Çıkarmak,Del Piero,Kulüpler & Mabedler,Epic
Milli Takım,Ay Yıldız,Kırmızı Beyaz,Türkiye,Avrupa Şampiyonası,Ülke,Yeşil Saha Efsaneleri,Rare
Hazırlık Maçı,Dostluk,Yaz,Kamp,Puan Yok,Özel,Yeşil Saha Efsaneleri,Rare
Kondisyoner,Koşmak,Fizik,Antrenör,Yorulmak,Hazırlık,Yeşil Saha Efsaneleri,Rare
Çift Kale Maç,Antrenman,Tesis,Yelek,Hazırlık,Oynamak,Futbol Terimleri & Taktikler,Common
Ortada Sıçan,Antrenman,Pas,Rondo,Top Kapmaca,Beşlik,Futbol Terimleri & Taktikler,Common
Şut Çekmek,Vurmak,Kaleye,Gol,Ayak,Top,Futbol Terimleri & Taktikler,Common
Kafa Vuruşu,Zıplamak,Gol,Korner,Orta,Alın,Futbol Terimleri & Taktikler,Common
Göğüs Kontrolü,İndirmek,Yumuşatmak,Top,Vücut,Havadan,Futbol Terimleri & Taktikler,Common
Dizle Kontrol,Sektirmek,Top,İndirmek,Bacak,Vücut,Futbol Terimleri & Taktikler,Common
Taç Atışı,Elle,Çizgi,Dışarı,Oyun,Başlamak,Futbol Terimleri & Taktikler,Common
Leandro Trossard,Arsenal,Beşiktaş,Beşiktaş,Sol Kanat,Mr Clutch,Kulüpler & Mabedler,Epic
Emmanuel Agbadou,Stoper,Fildişi,Stoper,Wolves,Beşiktaş,Futbol Terimleri & Taktikler,Common
Folarin Balogun,ABD,Forvet,Kırmızı Kart,Dünya Kupası,Infantino,Kupalar & Turnuvalar,Epic
Aleksandar Mitrović,Fulham,Forvet,Sırp,Golcü,Newcastle,Kulüpler & Mabedler,Epic
Lesley Ugochukwu,Burnley FC,Fransa,Ön Libero,Galatasaray,Transfer,Kulüpler & Mabedler,Epic
Paul Wanner,PSV Eindhoven,Almanya / Avusturya,Ofansif Orta Saha,Wonderkid,Bayern Münih,Kulüpler & Mabedler,Epic
Alexis Saelemaekers,AC Milan,Belçika,Sağ Kanat,Rafael Leão,Christian Pulisic,Kulüpler & Mabedler,Epic
Can Uzun,Eintracht Frankfurt,Türkiye / Almanya,Ofansif Orta Saha,Milli Takım,Jonathan Burkardt,Futbol Terimleri & Taktikler,Common
Sofyan Amrabat,Real Betis,Fas / Hollanda,Ön Libero,Antony,Fenerbahçe,Kulüpler & Mabedler,Epic
Deniz Undav,Alman,Türk,Stuttgart,Forvet,Werder Bremen,Yeşil Saha Efsaneleri,Rare
Ben White,Arsenal,Brighton,Sağ Bek,Stoper,Milli Takımı Bırakması,Kulüpler & Mabedler,Epic
Marc Guehi,Crystal Palace,Chelsea,Stoper,İngiltere,EURO 2024 Maskesi,Kupalar & Turnuvalar,Epic
Curtis Jones,Liverpool,Merkez Orta Saha,İngiltere,Klopp Altyapı,Skorer Orta Saha,Kulüpler & Mabedler,Epic
Manuel Ugarte,Manchester United,PSG,Sporting CP,Ön Libero,Uruguay,Kulüpler & Mabedler,Epic
Karim Adeyemi,Dortmund,Salzburg,Sol Kanat,Hız / Sürat,Nijerya kökenli,Kulüpler & Mabedler,Epic
Jonathan David,Lille,Gent,Santrfor,Kanada,Golcü,Yeşil Saha Efsaneleri,Rare
Amad Diallo,Manchester United,Rangers,Atalanta,Sağ Kanat,Fildişi Sahili,Kulüpler & Mabedler,Epic
Mohammed Kudus,West Ham,Ajax,Gana,Ofansif Orta Saha,Çalım / Dribbling,Kulüpler & Mabedler,Epic
Darwin Nunez,Liverpool,Benfica,Santrfor,Uruguay,Almeria,Kulüpler & Mabedler,Epic
Mateo Retegui,Atalanta,Genoa,Boca Juniors,Santrfor,İtalya / Arjantin,Yeşil Saha Efsaneleri,Rare
Rayan Cherki,Lyon,Ofansif Orta Saha,Fransa / Cezayir,Çift Ayak Yeteneği,Genç Yıldız,Futbol Terimleri & Taktikler,Common
Alejandro Garnacho,Manchester United,Atletico Madrid Altyapı,Sol Kanat,Arjantin,Ronaldo Sevinci,Kulüpler & Mabedler,Epic
Milos Kerkez,Bournemouth,AZ Alkmaar,Milan Altyapı,Sol Bek,Macaristan,Kulüpler & Mabedler,Epic
Adam Wharton,Crystal Palace,Blackburn Rovers,Merkez Orta Saha,İngiltere,EURO 2024 Kadrosu,Kupalar & Turnuvalar,Epic
Maghnes Akliouche,Monaco,Ofansif Orta Saha,Fransa,Cezayir Asıllı,Sol Ayak,Futbol Terimleri & Taktikler,Common
Ousmane Diomande,Sporting CP,Midtjylland,Stoper,Fildişi Sahili,Fizik Gücü,Futbol Terimleri & Taktikler,Common
Geovany Quenda,Sporting CP,Sağ Kanat,Portekiz,Sol Ayak,Genç Yaşta Çıkış,Futbol Terimleri & Taktikler,Common
James Maddison,Tottenham,Leicester City,Norwich,Ofansif Orta Saha,İngiltere,Kulüpler & Mabedler,Epic
Sven Botman,Newcastle United,Lille,Ajax Altyapı,Stoper,Hollanda,Kulüpler & Mabedler,Epic
Anthony Elanga,Nottingham Forest,Manchester United,Sol Kanat,İsveç,Hız / Sürat,Kulüpler & Mabedler,Epic
Ilya Zabarnyi,Bournemouth,Dinamo Kiev,Stoper,Ukrayna,İstikrar,Futbol Terimleri & Taktikler,Common
Myles Lewis Skelly,Arsenal,Sol Bek,Ön Libero,İngiltere,Arsenal Altyapı,Kulüpler & Mabedler,Epic
Gregor Kobel,Dortmund,Stuttgart,Kaleci,İsviçre,Penaltı Kurtarışları,Kulüpler & Mabedler,Epic
Dominic Solanke,Tottenham,Bournemouth,Chelsea Altyapı,Santrfor,İngiltere,Kulüpler & Mabedler,Epic
David Raya,Arsenal,Brentford,Kaleci,İspanya,Altın Eldiven,Kulüpler & Mabedler,Epic
Diogo Jota,Liverpool,Wolverhampton,Portekiz,Forvet,Kafa Golleri,Kulüpler & Mabedler,Epic
Fabián Ruiz,PSG,Napoli,Betis,Merkez Orta Saha,İspanya,Kulüpler & Mabedler,Epic
Robin Le Normand,Atletico Madrid,Real Sociedad,Stoper,İspanya / Fransa,EURO 2024 Şampiyonu,Kupalar & Turnuvalar,Epic
Ollie Watkins,Aston Villa,Brentford,Santrfor,İngiltere,EURO 2024 Yarı Final Golü,Kupalar & Turnuvalar,Epic
Brahim Díaz,Real Madrid,Milan,Manchester City,Ofansif Orta Saha,Fas / İspanya,Kulüpler & Mabedler,Epic
Jarrod Bowen,West Ham,Hull City,Sağ Kanat,İngiltere,Konferans Ligi Final Golü,Kulüpler & Mabedler,Epic
Gianluigi Donnarumma,PSG,AC Milan,Kaleci,İtalya,EURO 2020 MVP,Kupalar & Turnuvalar,Epic
Nico Schlotterbeck,Dortmund,Freiburg,Stoper,Almanya,Sol Ayak,Kulüpler & Mabedler,Epic
Diogo Costa,Porto,Kaleci,Portekiz,EURO 2024 Penaltı Kurtarışları,Kurtarıcı,Kupalar & Turnuvalar,Epic
Boubacar Kamara,Aston Villa,Marsilya,Ön Libero,Fransa,Sakatlık,Yeşil Saha Efsaneleri,Rare
Ferran Torres,Barcelona,Manchester City,Valencia,Sağ Kanat,İspanya,Kulüpler & Mabedler,Epic
Exequiel Palacios,Bayer Leverkusen,River Plate,Merkez Orta Saha,Arjantin,Dünya Kupası Şampiyonu,Kupalar & Turnuvalar,Epic
Khephren Thuram,Juventus,Nice,Monaco,Merkez Orta Saha,Fransa,Kulüpler & Mabedler,Epic
Nico González,Juventus,Fiorentina,Stuttgart,Sağ Kanat,Arjantin,Kulüpler & Mabedler,Epic
Brennan Johnson,Tottenham,Nottingham Forest,Sağ Kanat,Galler,Hız / Sürat,Kulüpler & Mabedler,Epic
Lisandro Martínez,Manchester United,Ajax,Stoper,Arjantin,Kasap (The Butcher) Lakabı,Kulüpler & Mabedler,Epic
Conor Gallagher,Atletico Madrid,Chelsea,Crystal Palace,Merkez Orta Saha,İngiltere,Kulüpler & Mabedler,Epic
Kim Min Jae,Bayern Münih,Napoli,Fenerbahçe,Stoper,Güney Kore,Kulüpler & Mabedler,Epic
Tino Livramento,Newcastle United,Southampton,Chelsea Altyapı,Sağ Bek,İngiltere,Kulüpler & Mabedler,Epic
Noni Madueke,Chelsea,PSV Eindhoven,Sağ Kanat,İngiltere,Hat-trick,Kulüpler & Mabedler,Epic
Kaoru Mitoma,Brighton,Union SG,Sol Kanat,Japonya,Dribbling Tezi / Akademik Çalım,Futbol Terimleri & Taktikler,Common
Dani Vivian,Athletic Bilbao,Stoper,İspanya,EURO 2024 Şampiyonu,Savaşçı Stoper,Kupalar & Turnuvalar,Epic
Mason Greenwood,Marsilya,Getafe,Manchester United,Forvet,İngiltere,Kulüpler & Mabedler,Epic
Gonçalo Ramos,PSG,Benfica,Santrfor,Portekiz,Dünya Kupası Hat-trick,Kupalar & Turnuvalar,Epic
Destiny Udogie,Tottenham,Udinese,Sol Bek,İtalya,Hücumcu Bek,Kulüpler & Mabedler,Epic
Liam Delap,Ipswich Town,Manchester City Altyapı,Santrfor,İngiltere,Taç Atışları,Kulüpler & Mabedler,Epic
Castello Lukeba,RB Leipzig,Lyon,Stoper,Fransa,Sol Ayak,Futbol Terimleri & Taktikler,Common
Antoine Semenyo,Bournemouth,Bristol City,Sağ Kanat,Gana,Güçlü Fizik,Futbol Terimleri & Taktikler,Common
Manu Koné,Roma,Mönchengladbach,Toulouse,Merkez Orta Saha,Fransa,Kulüpler & Mabedler,Epic
Roméo Lavia,Chelsea,Southampton,Anderlecht Altyapı,Ön Libero,Belçika,Kulüpler & Mabedler,Epic
Rico Lewis,Manchester City,Sağ Bek,Orta Saha,İngiltere,Pep Guardiola'nın Jokeri,Kulüpler & Mabedler,Epic
Victor Boniface,Bayer Leverkusen,Union SG,Santrfor,Nijerya,Namağlup Şampiyonluk,Yeşil Saha Efsaneleri,Rare
Joao Gomes,Wolverhampton,Flamengo,Ön Libero,Brezilya,Yıkıcı Oyun Tarzı,Yeşil Saha Efsaneleri,Rare
Raul Asencio,Real Madrid,Stoper,İspanya,Real Madrid Castilla,Acil Durumda A Takıma Çıkış,Kulüpler & Mabedler,Epic
Hugo Larsson,Eintracht Frankfurt,Malmö,Merkez Orta Saha,İsveç,Oyun Kurucu Yeteneği,Futbol Terimleri & Taktikler,Common
Carlos Baleba,Brighton,Lille,Ön Libero,Kamerun,Fizik Gücü,Yeşil Saha Efsaneleri,Rare
Youri Tielemans,Aston Villa,Leicester City,Monaco,Anderlecht,Belçika,Kulüpler & Mabedler,Epic
Matthijs de Ligt,Manchester United,Bayern Münih,Juventus,Ajax,Hollanda,Kulüpler & Mabedler,Epic
Pedro Porro,Tottenham,Sporting CP,Girona,Sağ Bek,İspanya,Kulüpler & Mabedler,Epic
Rodrigo Mora,Porto,Ofansif Orta Saha,Portekiz,Porto Altyapı,En Genç Golcü Rekoru,Kulüpler & Mabedler,Epic
Marquinhos,PSG,Roma,Stoper,Brezilya,PSG Kaptanı,Kulüpler & Mabedler,Epic
Mikel Merino,Arsenal,Real Sociedad,Newcastle,Osasuna,Merkez Orta Saha,Kulüpler & Mabedler,Epic
Christopher Nkunku,Chelsea,RB Leipzig,PSG Altyapı,Forvet,Fransa,Kulüpler & Mabedler,Epic
Antonee Robinson,Fulham,Wigan,Everton Altyapı,Sol Bek,ABD,Kulüpler & Mabedler,Epic
Marc Cucurella,Chelsea,Brighton,Getafe,Barcelona Altyapı,Sol Bek,Kulüpler & Mabedler,Epic
Denzel Dumfries,Inter,PSV Eindhoven,Sağ Bek,Hollanda,Hücumcu Bek,Kulüpler & Mabedler,Epic
Vangelis Pavlidis,Benfica,AZ Alkmaar,Willem II,Santrfor,Yunanistan,Kulüpler & Mabedler,Epic
Justin Kluivert,Bournemouth,Roma,Ajax,Valencia / Nice,Sol Kanat,Kulüpler & Mabedler,Epic
Joelinton,Newcastle United,Hoffenheim,Rapid Wien,Forvetten Orta Sahaya Dönüşüm,Brezilya,Kulüpler & Mabedler,Epic
Jonathan Burkardt,Mainz 05,Santrfor,Almanya,Mainz Kaptanı,Milli Takıma Seçilme,Futbol Terimleri & Taktikler,Common
Dušan Vlahović,Juventus,Fiorentina,Partizan,Santrfor,Sırbistan,Kulüpler & Mabedler,Epic
Teun Koopmeiners,Juventus,Atalanta,AZ Alkmaar,Ofansif Orta Saha,Hollanda,Kulüpler & Mabedler,Epic
Dan Ndoye,Bologna,Basel,Nice,Sağ Kanat,İsviçre,Futbol Terimleri & Taktikler,Common
Davide Frattesi,Inter,Sassuolo,Merkez Orta Saha,İtalya,Yedekten Gelip Gol Atma Uzmanlığı,Kulüpler & Mabedler,Epic
Harvey Barnes,Newcastle United,Leicester City,Sol Kanat,İngiltere,İçe Kat Eden Şutlar,Kulüpler & Mabedler,Epic
Francisco Trincao,Sporting CP,Barcelona,Wolves,Braga,Sağ Kanat,Kulüpler & Mabedler,Epic
Ezri Konsa,Aston Villa,Brentford,Stoper,İngiltere,Aston Villa Defans Lideri,Futbol Terimleri & Taktikler,Common
Nikola Milenkovic,Nottingham Forest,Fiorentina,Partizan,Stoper,Sırbistan,Futbol Terimleri & Taktikler,Common
Charles De Ketelaere,Atalanta,AC Milan,Club Brugge,Ofansif Orta Saha,Belçika,Kulüpler & Mabedler,Epic
Andrea Cambiaso,Juventus,Genoa,Sol Bek / Sağ Bek / Orta Saha,İtalya,Çok Yönlülük (Joker),Kulüpler & Mabedler,Epic
Ronald Araujo,Barcelona,Boston River,Stoper,Uruguay,Lider Defans,Kulüpler & Mabedler,Epic
Yann Bisseck,Inter,Aarhus,Köln,Stoper,Almanya,Kulüpler & Mabedler,Epic
Riccardo Calafiori,Arsenal,Bologna,Basel,Roma Altyapı,Stoper / Sol Bek,Kulüpler & Mabedler,Epic
Edmond Tapsoba,Bayer Leverkusen,Vitoria Guimaraes,Stoper,Burkina Faso,Namağlup Bundesliga Şampiyonu,Kupalar & Turnuvalar,Epic
Enzo Millot,Stuttgart,Monaco Altyapı,Ofansif Orta Saha,Fransa,Olimpiyat İkinciliği,Futbol Terimleri & Taktikler,Common
Giorgio Scalvini,Atalanta,Stoper,İtalya,Avrupa Ligi Şampiyonluğu,Sakatlık (EURO 2024 Kaçırma),Kupalar & Turnuvalar,Epic
Matheus Nunes,Manchester City,Wolverhampton,Sporting CP,Merkez Orta Saha,Portekiz / Brezilya,Kulüpler & Mabedler,Epic
Antony,Manchester United,Ajax,Sao Paulo,Sağ Kanat,Brezilya,Kulüpler & Mabedler,Epic
Rasmus Hojlund,Manchester United,Atalanta,Sturm Graz,Santrfor,Danimarka,Kulüpler & Mabedler,Epic
Rayan Ait Nouri,Wolverhampton,Angers,Sol Bek,Cezayir / Fransa,Hücumcu Sol Bek,Futbol Terimleri & Taktikler,Common
Malo Gusto,Chelsea,Lyon,Sağ Bek,Fransa,Reece James Alternatifi,Kulüpler & Mabedler,Epic
Evanilson,Bournemouth,Porto,Fluminense,Santrfor,Brezilya,Kulüpler & Mabedler,Epic
Jhon Durán,Aston Villa,Chicago Fire,Santrfor,Kolombiya,Fenerbahçe,Kulüpler & Mabedler,Epic
Igor Paixão,Feyenoord,Coritiba,Sol Kanat,Brezilya,Şampiyonluk,Futbol Terimleri & Taktikler,Common
Mathys Tel,Bayern Münih,Rennes,Forvet,Fransa,Genç Golcü,Kulüpler & Mabedler,Epic
Alvaro Carreras,Benfica,Manchester United Altyapı,Granada,Sol Bek,İspanya,Kulüpler & Mabedler,Epic
Giuliano Simeone,Atletico Madrid,Alaves,Sağ Kanat,Arjantin,Diego Simeone'nin Oğlu,Kulüpler & Mabedler,Epic
Andrey Santos,Strasbourg,Chelsea,Vasco da Gama,Merkez Orta Saha,Brezilya,Kulüpler & Mabedler,Epic
Abdukodir Khusanov,Lens,Energetik-BGU,Stoper,Özbekistan,Lig 1 Sürpriz Çıkış,Futbol Terimleri & Taktikler,Common
Nico Paz,Como,Real Madrid Altyapı,Ofansif Orta Saha,Arjantin,Cesc Fabregas'ın Öğrencisi,Kulüpler & Mabedler,Epic
Archie Gray,Tottenham,Leeds United,Sağ Bek,Orta Saha,İngiltere,Kulüpler & Mabedler,Epic
Santiago Castro,Bologna,Velez Sarsfield,Santrfor,Arjantin,Zirkzee Sonrası Çıkış,Yeşil Saha Efsaneleri,Rare
Lucas Bergvall,Tottenham,Djurgården,Merkez Orta Saha,İsveç,Barselona Yerine Tottenham Tercihi,Kulüpler & Mabedler,Epic
Leroy Sané,Bayern Münih,Manchester City,Schalke 04,Sağ Kanat,Almanya,Kulüpler & Mabedler,Epic
Guglielmo Vicario,Tottenham,Empoli,Kaleci,İtalya,Refleksleri,Kulüpler & Mabedler,Epic
Yoane Wissa,Brentford,Lorient,Santrfor,Kongo DC,Meditasyon Gol Sevinci,Yeşil Saha Efsaneleri,Rare
Gabriel Jesus,Arsenal,Manchester City,Palmeiras,Santrfor,Brezilya,Kulüpler & Mabedler,Epic
Pau Torres,Aston Villa,Villarreal,Stoper,İspanya,Sol Ayak,Kulüpler & Mabedler,Epic
Matteo Guendouzi,Lazio,Marsilya,Fenerbahçe,Merkez Orta Saha,Fransa,Kulüpler & Mabedler,Epic
Malik Tillman,PSV Eindhoven,Bayern Münih Altyapı,Rangers,Ofansif Orta Saha,ABD / Almanya,Kulüpler & Mabedler,Epic
Josip Stanisic,Bayern Münih,Bayer Leverkusen,Sağ Bek,Stoper,Hırvatistan,Kulüpler & Mabedler,Epic
Jacob Ramsey,Aston Villa,Merkez Orta Saha,İngiltere,Aston Villa Altyapı,Hücumcu Koşular,Futbol Terimleri & Taktikler,Common
Tomas Araujo,Benfica,Stoper,Portekiz,Benfica Akademisi,Genç Defans Lideri,Kulüpler & Mabedler,Epic
Georginio Rutter,Brighton,Leeds United,Hoffenheim,Santrfor,Fransa,Yeşil Saha Efsaneleri,Rare
Elliot Anderson,Nottingham Forest,Newcastle United,Merkez Orta Saha,İskoçya / İngiltere,Newcastle Altyapı,Kulüpler & Mabedler,Epic
Pape Matar Sarr,Tottenham,Metz,Merkez Orta Saha,Senegal,Çok Yönlülük,Kulüpler & Mabedler,Epic
Ardon Jashari,Club Brugge,Luzern,Ön Libero,İsviçre,Pasör,Futbol Terimleri & Taktikler,Common
Jan Paul van Hecke,Brighton,Heerenveen,NAC Breda,Stoper,Hollanda,Futbol Terimleri & Taktikler,Common
Georgiy Sudakov,Shakhtar Donetsk,Ofansif Orta Saha,Ukrayna,Oyun Kurucu Yeteneği,Shakhtar Yıldızı,Kulüpler & Mabedler,Epic
Lewis Hall,Newcastle United,Chelsea Altyapı,Sol Bek,İngiltere,Genç Yetenek,Kulüpler & Mabedler,Epic
António Silva,Benfica,Stoper,Portekiz,Benfica Akademisi,Dünya Kupası Kadrosu (En Genç Oyuncu),Kupalar & Turnuvalar,Epic
Mohamed Amoura,Wolfsburg,Union SG,Lugano,Santrfor,Cezayir,Yeşil Saha Efsaneleri,Rare
Alan Varela,Porto,Boca Juniors,Ön Libero,Arjantin,Pasör / Oyun Kurucu,Kulüpler & Mabedler,Epic
Jorrel Hato,Ajax,Sol Bek,Stoper,Hollanda,Ajax Akademisi,Kulüpler & Mabedler,Epic
Endrick,Real Madrid,Palmeiras,Santrfor,Brezilya,Genç Yıldız (Wonderkid),Kulüpler & Mabedler,Epic
Yankuba Minteh,Brighton,Feyenoord,Newcastle,Sağ Kanat,Gambia,Kulüpler & Mabedler,Epic
Assane Diao,Real Betis,Sağ Kanat,İspanya / Senegal,Betis Altyapısı,Fizik ve Hız,Futbol Terimleri & Taktikler,Common
Jesús Rodríguez,Real Betis,Sol Kanat,İspanya,Betis Altyapısı,Genç Yetenek,Futbol Terimleri & Taktikler,Common
Alejandro Grimaldo,Bayer Leverkusen,Benfica,Barcelona Altyapı,Sol Bek,İspanya,Kulüpler & Mabedler,Epic
Jonathan Tah,Bayer Leverkusen,Hamburg,Stoper,Almanya,Boy / Fizik,Futbol Terimleri & Taktikler,Common
João Palhinha,Bayern Münih,Fulham,Sporting CP,Ön Libero,Portekiz,Kulüpler & Mabedler,Epic
Manuel Locatelli,Juventus,Sassuolo,Milan,Merkez Orta Saha,İtalya,Kulüpler & Mabedler,Epic
Kingsley Coman,Bayern Münih,Juventus,PSG,Sağ Kanat,Fransa,Kulüpler & Mabedler,Epic
Artem Dovbyk,Roma,Girona,Dnipro,Santrfor,Ukrayna,Kulüpler & Mabedler,Epic
